Video ID,User ID,Comment
_J-uvMGfpTA,UCmeNT246E9CD0Gw1I95Nd-g,"Tell us about the crimes during the blm riots! Give us the names of the people that burned down the police stations! How about the names of the people that broke into, looted and destroyed black owned business’s in Minneapolis and Seattle in the name of George Floyd!! Give us the names of all the ‘peaceful’ protestors that shot police officers!! How come fake news never wants to give us this information!! 🤬"
_J-uvMGfpTA,UCmeNT246E9CD0Gw1I95Nd-g,The stupidity on the left is really being exposed!!!
_J-uvMGfpTA,UCx7g-DAmuKll-Okr_ENoWzw,Yes. You are fake news indeed
_J-uvMGfpTA,UCsePNQLtt6i_StzHKtSdw5w,Trumps daughter is Jewish
_J-uvMGfpTA,UC13nqLQkzqx8NzZ1RvvnkrA,MAGA ALL THE WAY
_J-uvMGfpTA,UCrepdAjd4jp1aEYJMEpLahg,"Nylon musk is a rich clown. That, and that alone."
_J-uvMGfpTA,UCnWx9L4O6E4c2kFlA5WlRog,"Newsmax, OAN, and Parlor got deplatformed by democrats. McCarthy warned you guys of setting a precedent. Tik Tok is shut down now I’m waiting for msnbc and cnn to be shutdown. Just for good ol’ times sake I mean. So let’s have it.  Let’s shutdown msnbc."
_J-uvMGfpTA,UCpZ8izNhCedDwhuw3IJC_Tg,Only racists see racism in EVERYTHING!
_J-uvMGfpTA,UCnWx9L4O6E4c2kFlA5WlRog,Funny how you guys defunded police and are concerned about them on Jan 6.
_J-uvMGfpTA,UCpZ8izNhCedDwhuw3IJC_Tg,"The Left is REALLY scrambling for relevance. Check out the vids of Obama, Liz Warren, and AOC, that did the same so-called &quot;salute&quot; even more emphatically then Musk did. And AOC did it THREE times in a row! Talk about blatant MSNBC hypocrisy!"
_J-uvMGfpTA,UCKwfa0Odv4owZBWU1WMdULQ,I&#39;m thinking of standing in front of the White House and copying Musk&#39;s &#39;little gesture&#39;. Who&#39;s with me? Or would that be showing too much respect?
_J-uvMGfpTA,UCsiW1Taf_LgOhfnwrvHUTBQ,"Silly… Musk was saying he loved the crowd, and threw them his heart. Everyone knew that."
_J-uvMGfpTA,UCTq1ftdTtE7cp59qjFbuAVg,"Elon is like most big tech guys who are a bit nerdy and awkward deep down even though they try to look and play it cool in recent years, look at Jeff Bezos, Mark Zach and Musk himself 10 - 15 years ago look different now, but when you put a mic and camera in front of them the awkward nerd comes out... just look at how he dances this man has no control of his hands when he gets too excited .. Just google windows 95 launch dance.... thats who these guys are, so just take a chill pill people, he is just an awkward guy 😊"
_J-uvMGfpTA,UCCMBjVjbIRHXX3W4scFumLQ,It was a genocidal threat.
_J-uvMGfpTA,UCeGc-nwHNW64Sn-SOO8YQqw,Cut the clip right before he said my heart goes out to you..... Wow... How can MSNBC even still call themselves the news...
_J-uvMGfpTA,UCeGc-nwHNW64Sn-SOO8YQqw,I guess MSNBC wants to lose another lawsuit.... I don&#39;t know how they can continue to call themselves the news.
_J-uvMGfpTA,UCBgFrH51DgF9K6nXWa1V5iA,😊 Reid is a bukkake recipient
_J-uvMGfpTA,UC2g6BM5QB0TZPX8ugLR1G0g,"Omg people he was just shouting out to his bro in the bleachers n saying “SEE, KYLE???”"
_J-uvMGfpTA,UCCmpQoSI7tWP2z1Wj-lOpng,You didn’t even show the whole clip and what Elon said. You will never learn.
_J-uvMGfpTA,UCfJUUU12kZJ1TXAER-5HEIQ,This is why nobody except NPCs trusts legacy media. Pure stupidity and dishonesty.
_J-uvMGfpTA,UCxazmlR2j_3rZlGdLb8dbQQ,The reason some people fear for their lives is because they watch this show which is full of lies.If anyone actually watched the whole thing on live t.v. they would&#39;ve heard when he was  touching his heart and throwing out his arm saying his heart goes out to everyone who made this happen.But this show didn&#39;t  play it all the way through just like they don&#39;t do on many things.Prople need to stop watching this show.They are liars and they are full of hate and constantly spread ignorance and fear.They need to stop because they look ignorant.
_J-uvMGfpTA,UC2Qu0bdXN6dr5biJqmDUeVg,"Musk knew what he was doing, thought it was ok, did it twice and with flourish. We see exactly what we see: a traitor we welcomed into our country as a naturalized citizen even after he overstayed his student visa..."
_J-uvMGfpTA,UCkuswyNDi4gTXLyAn9qPOmQ,So this was more offensive and angered Joy more than Biden sleeping at the nations meeting in Africa!?
_J-uvMGfpTA,UCEpxoIySLeNhV4hOc1EpDIQ,"Fakesnews they tried to find ways to criticize him, fakes news, fakes news these demon crat nevers stop committing stop to bear false witnesses."
_J-uvMGfpTA,UCEpxoIySLeNhV4hOc1EpDIQ,Fakes newx
_J-uvMGfpTA,UCaJRklIFTN-aODUnNgvvQ6A,It&#39;s funny how you won&#39;t show ENTIRE  video of Musk doing that . I guess you wouldn&#39;t have a talking  point then .
_J-uvMGfpTA,UCHnUjJpn84t1aDp8sS1IW2w,You people are so corrupt...I wish the lords mercy on you...
_J-uvMGfpTA,UCKa-w0nUakH_AsWsg9Ys2Jg,Not Police asking for ACCOUNTABILITY
_J-uvMGfpTA,UCLstC3DL0gtxSRg-3IuzvRA,You are so freaking stupid.  He aimed to his heart to the American people.   Your conspiracy theory is completely out there!!!!   It was nothing like what you accuse him of.  Good grief you are dangerously edged to crazy.   You’re just looking for anything.   Have something else better to busy yourself with.
_J-uvMGfpTA,UCh9WJj-2mdv9qZLa6IQ-pQw,this is so utterly pathetic
_J-uvMGfpTA,UCUnr-BMQYY7JwKWM28hafIQ,The moves of a Dictator.
_J-uvMGfpTA,UC8cxl94EiOrvZhNzfap77gw,"barack Obama , hillary Clinton and AOC all did the same “very suggestive gesture&quot;"
_J-uvMGfpTA,UCnoi4_aLvSTo9WhgqkvJGPg,"Its plan and simple, he&#39;s eluding the ushering in of a Hitler regime. Stop playing games.....CAN QE TRUST MSNBC TO TELL THE TRUTH???¿?"
_J-uvMGfpTA,UCkx826sppOkUNlQqKrjFveQ,To all who were offended by Elon’s gesture. My heart goes out to you.
_J-uvMGfpTA,UCt2RvuUqR3dJzzbxdbdUUeA,Fake news and cheap fakes msnbc
_J-uvMGfpTA,UC3EDXMSKdVUR-i0jZoAz0Ew,MSNBC pointing names and naming fingers again 😂🤣
_J-uvMGfpTA,UCOFNFEcUWzwkpj_MJGR0RzA,🙋🏻‍♂️
_J-uvMGfpTA,UCA-jvg4lUFD2r3ltUPmVVTg,You idiots.  Can you bother to show the whole video about Elon and present the truth to your audience.   He said MY HEART GOES OUT TO YOU (the audience).   Never learn… LIARS to the core.
_J-uvMGfpTA,UCVlqQNfkPrXbgtpuScsoI9g,Lol. Joy Reid is a disgraceful racist flake. Can&#39;t believe people are stupid enough to worship her like they do.
_J-uvMGfpTA,UCh6sk5esj-ey5titxsT4hWQ,Imagine being Jewish Trump supporter and having to lie about yourself you&#39;re what you just saw... Imagine being Latino Trump supporter and have to lie to yourself about Trump trying to abolish born citizenship and what that means... Imagine being a black Trump supporter and look at all the white men and women Trump put into power and one of the very few positions of man got was Urban development 🤷
_J-uvMGfpTA,UChLYchNA_MAFjov20QrRPzw,Elon said:&quot;My heart goes out to all of you&quot; As he placed his hand on his heart and thru it out to the crowd.  Why do people think Hitler would say that?
_J-uvMGfpTA,UCIpeCuPoWK6EwSb-hkPGpOg,"last year, i watched my cousin go from feeling completely stuck in life to absolutely thriving. they’d been talking about a book called Vibrations of Manifestation by Alex Lane and how it wasn’t about “just think happy thoughts,” but more about getting real with yourself and your goals. at first, i didn’t pay much attention, but then they started landing dream opportunities, meeting new people, and just carrying themselves differently. it’s not some miracle story—they worked for it—but they said the book helped them focus in a way that made everything feel possible."
_J-uvMGfpTA,UC-BgXgeAOgwBY34MDqB3xKA,"That is what Trump calls nadty? She was soft spoken, straight forward, and caring. Nadty? No."
_J-uvMGfpTA,UCqdKp8PeZ95I1kuqeZW9K6w,"i used to be skeptical about all this manifestation talk until one of my closest friends went from feeling stuck in their job to landing their dream role. it wasn’t just luck either—they’d been talking about a book called Vibrations of Manifestation by Alex Lane and how it shifted their mindset. what really got me was how they started approaching life differently—more calm, more focused—and things just started falling into place. they mentioned it wasn’t some overnight magic but a process of really understanding what they wanted and aligning with it. honestly, seeing the change in them made me curious about how much mindset matters."
_J-uvMGfpTA,UCcj_iYMH9dlXMk4TKN2pjzg,"i kept seeing people mention the book Vibrations of Manifestation by Alex Lane in the comments of so many videos. at first, i thought it was just overhyped, but after seeing it pop up everywhere, i decided to give it a shot. turns out, it really is as powerful as people say. the way it explains how to align your energy with what you truly want is something i’ve never seen before. it’s not just about thinking positively—it’s about actually understanding the process of manifesting your dream life. i can see why so many people are talking about it now."
_J-uvMGfpTA,UCVUqzpcfqKawdlWANx0_q5A,Just gave a toddler his favourite toy!
_J-uvMGfpTA,UCVUqzpcfqKawdlWANx0_q5A,omg..what a <b>*</b> show!
_J-uvMGfpTA,UC17cN8s2ewGSLkYzrV44Y7w,The Hitler accusations have reached the most stupid point now.
_J-uvMGfpTA,UCOsYdTclb_8o3TIOvQL5qUA,"What do people really think will come of this? Another ww2? Rounding up citizens? The guy was excited and overstimulated and most likely had good intentions with his gesture, but chose the wrong thing in the heat of the moment. People saying “we know what he meant by that” are just jumping to conclusions."
_J-uvMGfpTA,UCK_OgFMdOGJnFlOEQlC2t0w,"Hahahaha... the dysphoria is back in FULL SWING.  Glorious,  absolutely glorious!"
_J-uvMGfpTA,UCF7vht_ws71nFFxNo-h4c1w,😂✊🏻
_J-uvMGfpTA,UC1RihpBiLFxo9RFdlR9jNTQ,Deport the wolf in sheeps clothing bishop
_J-uvMGfpTA,UCl0wb3UjKwlXcVyKcNOVnlw,not suggestive! he did it and we are calling you out for pandering to the right. FAFO!
_J-uvMGfpTA,UCl_AasxEBDasPqYXJ6KWZCQ,This is propaganda. Not news.
_J-uvMGfpTA,UC1HABFfeZSG7h4zREdtLpIA,I hope at least some Trump voters are feeling guilty.
_J-uvMGfpTA,UC7-B_bGZKh6xUUe7q6CWwEg,"Don&#39;t freak out Joy ... there are no hoods or burning crosses .... !   Trump is more methodical ... he&#39;ll first eliminate BLM, then repeal the Civil Rights Act, then slowly slide us back into segregation..."
_J-uvMGfpTA,UCQN6QbPbRL1Lu-P6mFju2Mg,This s*** is stupid anyone that watches this bs news is a joke
_J-uvMGfpTA,UCwsehWO2RZ5MAzPT98MRomw,"Nothing will become of this just like nothing the Democrats have done in the last 4 years has amounted to anything. Remember the Puerto Rico joke and the &#39;rally at MSG&#39; hysteria? How many thousands of times did MSNBC tell you Trump would be in jail, or stricken from the ballots, or raid on Mar-a-Lago or blah blah blah. The American public wants secure borders and now Trump is doing the job Mayorkas and Harris were incompetent to do."
